ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Analyzed_Text,Original_Orthography,Translation_Other,Type
ex1,even1260,etiken (turki-v) bo-ce-n kunga,,old_man	(sleigh-ACC)	give-PRF.PTCP-3SG.POSS	child,the child to whom the sleigh was given by the old man,,,,malchukov-na,,,,
ex2,gama1251,[no-e Ø mǝdǝ o-ra-e-o] sehr-rǝ,,[he-ERG	Ø	wine	3SG.A-3PL.P-give-NMLZ]	elder-PL,the elders [to whom he gave wine],,,,watters-2002,,,,
ex3,gama1251,tha: pǝrĩ:-dǝ o-ra-e-o mi:-rǝ,.,news	send-NF	3SG.A-3PL.P-BEN/give-NMLZ	person-PL,the people to whom he sent the news,,,,watters-2002,,,,
ex4,mala1464,saaṟa kaʈam koʈutta kuuʈʈukaari,.,Sarah	loan	give:PST:RP	friend,the friend to whom Sarah gave a loan,,,,ch001asherkumari1997,,,,
ex5,west2369,mærd-i ke pul-o be-heš dad-æm,.,man-DEM	that	money-OBJ.M	to-3SG.PC	gave-1SG,the man who I gave the money to,,,,mahootian-1997,,,,
ex6,mand1415,wǒ sòng gěi *(tā) yi - běn xiǎoshuō de rén,.,I	give	to	*(3SG)	one	-	CL	novel	NOM	person,The person to whom I gave a novel.,,,,ch001lithompson1981,,,,
ex7,lele1276,bayndí-ŋ go ŋ bè-y kòjò ko-noŋ è jè dí,.,man-DEF	REF	1SG	give-3.M	hoe	GEN-1SG	go	VENT	3.M,the man to whom I gave my hoe came,,,,frajzyngier-2001,,,,
ex8,thai1261,khon thîi chǎn hây nǎŋs˘i [(kὲ̀̀ε) khăw],.,person	REL	1SG	give	book	[to	3SG],the person to whom I gave a book,,,,,,,,
ex9,thai1261,phûuchaay thîi chǎn khǎay nǎ̀̀ŋs˘i hây (kὲ̀̀ε) (khǎw),.,man	REL	1SG	sell	book	give	(to)	(3SG),the man to whom I sold the book,,,,,,,,
ex10,kiny1244,umukôobwa umuhûungu y-a-háa-ye igitabo,.,girl	boy	he-PST-give.REL-ASP	book,the girl to whom the boy gave the book,,,,ch001kimenyi1980,,,,
ex11,hung1274,"Itt van a fiú, aki-nek Anna felolvasta a könyvet.",.,here	is	the	boy	who-DAT	Anna	PFX.read.DEF	the	book.ACC,Here is the boy to whom Anna reads the book.,,,,ch001keneseivagofenyvesi1998,,,,
ex12,mana1295,áine /ʔúsi ʔu-zaza-ø-n-í-ŋe/ go-itíʔin-a,.,woman	loin_cloth	2SG.RL-buy-3PL.OBJ-BEN-3SG.OBJ-RES.PRO	2SG.IRR-show.to-1SG.OBJ,Show me the woman you bought the loincloths for.,,,,ch001lichtenberk1983,,,,
ex13,ship1254,Bake-bo Pena-n esé-bo meni-ai r-iki jawen baba-bo.,.,child-PL	Pena-ERG	advice-PL:ABS	give-PP1:ABS	EV-COP	3.POSS	grandchild-PL,The children to whom Pena is giving advice are her grandchildren.,,,,valenzuela-2003,,,,
ex14,even1259,Beje anty-du bi purta-va bu:-che-v suru-che-n.,.,man	which-DAT	I	knife-ACC.DEF	give-PST-1SG	go.away-PST-3SG,The man (to) whom I gave the knife went away.,,,,ch10nedjalkov1997,,,,
ex15,wari1268,Mon [ma'-on] ma’ tarama’ co mi’ ta’ con hwam pane.,.,that:PROX:hearer.M	[that:PROX:hearer-M]	that:PROX:hearer	man	INFL:M/F.RPP	give	1s	PREP:3SG.M	fish	REM:PST,There is the man to whom I gave a fish.,,,,ch001everettkern1997,,,,
ex16,imba1240,[Juzi Ø kulki-ta kara-na] warmi,.,[José	Ø	silver-ACC	give-NMLZ]	woman,the woman to whom José gave money,,,,ch001cole1982,,,,
ex17,leti1246,aan-ku=ra müem-ele ïaklu la=e,.,children-1SG=PL	RED.2SG-give.DEX	top.DEX	DIR=DEX,my children to whom you give the playing-top,,,,engelenhoven-na,,,,
ex18,yaqu1251,U jamut-Øi [Peo-ta toto’i-ta ai miika-ka-’u],.,the	woman-NOM	[Pedro-ACC	hen-ACC	3SG:ACC	give-PFV-CLM],The woman to whom Pedro gave (her) the hen.,,,,guerrero-2005,,,,
ex19,yaqu1251,U jamut-tai [Peo-ta toto’i-ta a-ui nenka-ka-’u],.,the	woman-NOM	[Peo-ACC	hen-ACC	3SG-DIR	sell-PFV-CLM],The woman to whom Pedro sold the hen (to her).,,,,guerrero-2005,,,,
ex20,haka1240,rool ka-ʔay-ter-mii lawthlawpaa ka-hooy ʔa-sii,.,food	1SG.SBJ-eat-CAUS-REL	farmer	1SG.POSS-friend	3SG.SBJ-COP,The farmer I fed is my friend.,,,,peterson-1998,,,,
ex21,haka1240,lawt ʔan-thloʔ-piak-mii lawtlawpaa khaa ka-hmuʔ,.,field	3PL.SBJ-hoe-AFF-REL	farmer	DEIC	1SG.SBJ-see,I saw the farmer they hoed the field for.,,,,peterson-1998,,,,
ex22,nort2954,su=nana i=tɨ-kuhani-kɨ-na ɨ=supitakwatu,.,NOM=man	1=ANTIP-cook-APPL-PTCP	2=know,The man I cook for knows you.,,,,ch001thornes2003,,,,
ex23,indo1316,*Wanita itu saja kirim surat itu (kepada).,.,woman	the	I	send	letter	the	(to),That woman I sent the letter to.,,,,chung-ra-1983,,,,
ex24,indo1316,*Saja me-lihat surat jang Ali kirim-i kakak saja.,.,I	TR-see	letter	COMP	Ali	send-BEN	sibling	my,I saw the letter that Ali sent my sister.,,,,chung-ra-1983,,,,
ex25,cham1312,Hu-tungo’ i lahi hayi f-in-ahan-i-ña si Juan i kareta.,.,ERG.1SG-know	the	man	who	Ø-NOM-buy-PRM-3SG.POSS	UNM	John	the	car,I know the man John bought the car for.,,,,cooreman-1987,,,,
ex26,koyr1240,har di kaa se ay noo njerfu di,.,man	DEF	REL	DAT	1SG.SBJ	give	money	DEF,the man to whom I gave the money,,,,heath-1998,,,,
ex27,koyr1240,?#har di kaa ay noo njerfu di,.,man	DEF	REL	I	give	money	DEF,the man to whom I gave the money,,,,heath-1998,,,,
ex28,nort2722,qa-wu-panə-dele-m mi,.,1SG-ERG-thing-give-NOM	person,the person to whom I gave something,,,,lapolla-j.-2003,,,,
ex29,wapp1239,mi ce k’ew-thu taka? ma-hes-ta (ce) ah naw-ta?,.,2SG	DEM	man-DAT	basket	DIR-give-PST.DEP	(DEM)	1SG.NOM	see-PST,I saw the man you gave the basket to.,,,,thompson-etal-2006,,,,
ex30,mani1292,ә-hәn oy-lә́́bә nu-pa-tu-nә ŋá-lú-pák pí-lәm-pә nu-pi-tu әy-ki nu-pi-ni,.,ATTR-old	be-HAVING	person-M-DDET-CONTR	fish-trap-broad	give-EVD-NOM	person-F-DDET	1SG-GEN	person-F-COP,The woman to whom the basket of fish was given by the man who is old is my wife.,,,,chelliah-1997,,,,
ex31,nuuu1241,|eeki he Griet si ʔãa ɦa si doŋki-si,.,woman	REL	Griet	FUT	give	3SG(RESUMP).DAT	1PL	donkey-SG,the woman Griet will give our donkey to,,,,ch05collins2004,,,,
ex32,kala1399,nukappiaaraq Maalia-mit qimmi-mik tuni-saa-juma-suq,.,boy	Mary-ABL	dog-INS	give-PASS-want-INTR.PART,the boy who wanted to be given a dog by Mary,,,,ch001fortescue1984,,,,
ex33,kash1277,su naphar [yas me gər dits] gav garɨ.,.,that	person	[REL.DAT	I:ERG	watch	gave]	went	home,The person whom I gave a watch went home.,,,,wali-koul-1997,,,,
ex34,khan1273,(naŋ) a:n mij-əm pox-e:n e:wəlt,.,(he)	cup	give-PST.PTCP	boy-3SG.POSS	about,about the boy to whom you gave the cup,,,,ch001nikolaeva1999,,,,
ex35,alam1246,ɨnd ø nëm maroham hay-më mërho-r,.,DEM	ø	we	money	give-REM.PST	European-3SG.M,the European (to whom) we gave money,,,,ch001bruce1984,,,the European (who) gave money to us,
ex36,tuka1249,O-koruo na maia [i-hu’u].,.,3.R-many	NOM	person	[OBJ-give],There are lots of people who were given something.,,,,ch001donohue1999,,,,
ex37,kore1280,[Minca-ka SENSAYNG-EYKEY chayk-ul tuli-l] sensayng,.,[Minca-NOM	teacher-to	book-ACC	give-PROS]	teacher,The teacher to whom Minca will give a book.,,,,sohn-1994,,,,
ex38,seme1247,kadeh [mə=ga=yε=jon]?,.,who	[REL=IMM=1.A=give],(It is to) whom that I will give (it)?,,,,kruspe-2004,,,,
ex39,basq1248,kale-an ema-n d-Ø-Ø-io-te-n paper bat-ean irakurr-i d-Ø-u-Ø-ela esa-n d-Ø-Ø-it-Ø,.,street-SG.LOC	give-PFV	3.ABS-PRS-TR.AUX-3SG.DAT-3PL.ERG-COMP	flier	one-SG.LOC	read-PFV	3.ABS-PRS-TR.AUX-3SG.ERG-COMP	say-PFV	3.ABS-PRS-TR.AUX-1SG.DAT-3SG.ERG,He has told me that he has read it in a flier which they have given him in the street.,,,,saltarelli-1988,,,,
ex40,yuec1235,[??ngoh sung go bun syu ge] yahn,.,[I	gave	that	CLF	book	REL]	person,the person I gave that book,,,,xu-peyraube-1997,,,,
ex41,kung1261,Mí má hŋ́ dàbē yīí-è bà kē |à’ā (yīí kē) g||ú.,.,1SG	TOP	see	children.N3	N3-REL	2SG	PST	give	(N3	TR)	water,I see the children whom you gave water.,,,,konig-heine-2010,,,,
ex42,fonn1241,nyɔ́núi [ɖè Kɔ̀kú xɛ́lɛ́ xwé ɔ́ ti] ɔ́,.,woman	[that	Koku	show	house	DET	Ø]	DET,the woman (to) whom Koku showed the house,,,,ch03lefebvre1994,,,,
ex43,newa1246,bisma haŋ-a kae,.,Bisma	say-NMLZ	son,The son who is called Bisma,,,,genetti-1997,,,,
ex44,east2542,Eshkam znagad wii-debnaming iw CHANGE-wii=boodwe-m-g,.,?	?	?-?	that	REL-FUT=burn-INDF-3.SBJ(C),It’s getting increasingly difficult to get firewood. (lit. It’s getting increasingly difficult to get that wich one burns(as fuel).),,,,ch21rhodes2005,,,,
ex45,halk1245,swíwʔləs kwθə ni ʔám-əs-t-əs ʔə kwθə púkw,.,boy	DET	AUX	give-APPL-TR-3SG.SBJ	OBL	DET	book,It’s a boy that he gave the book to.,,,,ch001gerdts1982,,,,
ex46,zulu1248,Izinsizwa [ubaba azinike incwadi] zisebenza kulelibhilidi,.,young_men	[my:father	CRP:them:gave	letter]	they:work	in:this:building,The young men to whom my father gave the letter work in this building,,,,poulos-1982,,,,
ex47,nucl1284,Mɔhesɔ ciṭhi lekh-i-th-iba lokɔ-ṭi-rɔ stri mɔr-i-gɔl-a.,.,Mahésa	letter	write-CVB-AUX-INF	person-ART-GEN	wife	die-CV-V2:go:PST-3SG,The wife of the man whom Mahésa had written a letter died.,,,,neukom-patnaik-2003,,,,
ex48,soch1239,ŋiúMmíʔH ʔiL kaL-hẽL cúM ʔíL ʔmáMʔĩLM ŋiíHkõM ø,.,boy	COMP	PST-offer.TI.3	3	that.AN	pencil	to	ø,that boy who s/he offered a pencil to,,,,foris-2000,,,,
ex49,soch1239,míMŋiíL ʔiL kaL-kuéʔL (ʔiL) ieʔL ø ʔíHmiiʔMH,.,pig	COMP	PST-give.DI.3	(that.AN)	elder	ø	bread,(that) pig that the old man gave a bread roll,,,,foris-2000,,,,
ex50,kaza1248,seniŋ kitap ber-gen oquwšI-ŋ,.,your	book	give-PART	student-2SG.POSS,the student whom you gave the book,,,,mawkanuli-na,,,,
ex51,nucl1643,[kimura-san ga Ø inu o ageta] kodomo,.,[Kimura-Mr.	NOM	Ø	dog	ACC	gave]	child,The child to whom Mr. Kimura gave a dog.,,,,iwasaki-2002,,,,
ex52,supy1237,"Cìnmpyi-cyɛ̀ɛbílá à sànya a wyì ké, pire nàmbaabíí màha m-pa ná vàànyi ì.",.,blood.relative-women.DEF	to	death.announcement.DEF	PERF	announce	REL	their(EMPH)	men.DEF	HAB	ITR-come	with	cloth.DEF	with,"The female blood relatives to whom the death has been announced, their husbands come with the cloths.",,,,carlson-1994,,,,
ex53,cash1254,huni-dan [ən piti inan-ai],.,man-TOP	[I	food	give-PRS],the man to whom I give food,,,,,,,,
ex54,olut1240,tuk=ak yoʔjwa [tax=nüm-ay-i-:t-ütz-ʔaʔ],.,one=AN	man	[C.1(ERG)=tell-APPL1-COMD-1+2PL-EXCL-NMZR,One man that we told it to.,,,,zavala-maldonaldo-2002,,,,
ex55,panj1256,ó aadmii [ji(s) ø nüü mãi kataab dittii],.,cor	man	[REL	ø	DAT.PP	I	book.F.SG	give:PST.F.SG],... the man to whom I gave the book ...,,,,bhatia-1993,,,,
ex56,yoru1245,Ọkùnrin [tí mo fún _ ní ìwé],.,man	[REL	1SG.SBJ	give	_	SEC	book],The man to whom I gave a book,,,,ch02atoyebi2010,,,,
ex57,yoru1245,Ọkùnrin [tí mo kọ ìwé sí ],.,man	[REL	1SG.SBJ	write	book	PREP],The man to whom I wrote a latter,,,,ch02atoyebi2010,,,,
ex58,lang1324,lócə̀ àmɛ̂ rwòt òmìò lyèc,.,man	REL.PART	king	3s:give.PFV	elephant,The man that the king gave the elephant to.,,,,noonan-1992,,,,
ex59,lang1324,lócə̀ àmɛ̂ rwòt òmìò lyèc bòté,.,man	REL+PART	king	3s:give.PFV	elephant	to:3s,The man that the king gave the elephant to.,,,,noonan-1992,,,,
ex60,amel1241,Mala mel sab ut-en (eu) cal m-en.,.,chicken	boy	food	3SG.3SG-REM.PST	(that)	dead	become.3SG-REM.PST,The chicken that the boy gave food has died.,,,,roberts-1987,,,,
ex61,abkh1244,a-xàc’a a-š°q°’ə̀ Ø-z+ə-y-tà(-z) a-pħ°ə̀s də-z-də̀r-we-yt’,.,the-man	the-book	it-to+whom-he-give(-NFIN)	the-woman	her-I-know-DYN-FIN,I know the woman to whom the man gave the book.,,,,hewitt-1989,,,,
ex62,lavu1241,o-feil a-ham hide o-la-Ø ga aka o-bo’rea-ol le’laol feol lo-ma-re lo-ne fi vau lo-me,.,3SG.POSS-bow(n)	3SG.M.OBJ-for	thus	3SG.SBJ-cut-SG.N	SG.N.ART	then	3SG.POSS-arrow-DU.F	two.F	3DU.F.FOC	3DU.F.OBJ-take-NF	3DU.F.OBJ-with	3SG.N.FOC	go.out	3SG.S-HAB,... he took his bow that (his mother) had made for him and his two arrows and with them he went out.,,,,terrill-2003,,,,
ex63,even1260,etiken bo-ce-n turki,.,old_man	give-PERF.PART-3SG.POSS	sleigh,the sleigh that was given by the old man,,,,,,,,
ex64,kwaz1243,sirisi’ri ẽrjãwã-’na jere’xwa ‘tsje=asa-hỹ,.,ant_eater	forest-LOC	jaguar	grab=leave-NOM,that ant eater which the jaguar killed in the forest,,,,voort-2004,,,,
ex65,sali1295,kaleko-wa yo-gu saya ye-le-di-ma-wa,.,cloth-PM	CL1-1SG.P	sibling	3SG-give-3PL.OBJ-hither-PM,the clothes that my sister gave me,,,,ch001margetts1999,,,,
ex66,gama1251,[sehr-ra-lai Ø o-ra-e-o] mǝdǝ,.,[elder-PL-OBJ	Ø	3SG.A-3PL.P-give-NMLZ]	wine,the wine [which he gave the elders],,,,watters-2002,,,,
ex67,udih1248,Nua-ni umi-e-ni [men-e gada:-mi] ‘ai-we,.,he-3SG	drink-PST-3SG	[REFL-OBJ	buy.PST.PTCP-SS]	vodka-ACC,He drank the vodka which he bought.,,,,ch10nikolaevatolskaya2001,,,,
ex68,kumi1248,[xachaw me-‘iny]-pu mamwi-a,.,[cloth	3/2-give+ORS]-DEM	2+do.what-Q,What did you do with the cloth she gave you?,,,,miller-2001,,,,
ex69,lele1276,bàyndi go gi gìl-iŋ nò go lelé ɗé,.,man	REF	2.M	show-1SG	COP	REF	Lele	NEG,The man you have shown me is not Lele.,,,,frajzyngier-2001,,,,
ex70,thai1261,nǎŋs˘i thîi chǎn hây (kὲ̀̀ε) khăw,.,book	REL	1SG	give	(to)	3SG,the book that I gave him,,,,,,,,
ex71,thai1261,nǎ̀̀ŋs˘i thîi khǎw khǎay man hây (kὲ̀̀ε) chǎn,.,book	REL	3SG	sell	3SG	give	(to)	1SG,the book that he sold to me,,,,,,,,
ex72,kiny1244,igitabo umuhûungu y-a-háa-ye umukôobwa,.,book	boy	he-PST-give.REL-ASP	girl,the book that the boy gave to the girl,,,,ch001kimenyi1980,,,,
ex73,ship1254,Esé-bo Pena-n bake-bo meni-ai r-iki moa-tian no-n axé.,.,advice-PL	Pena-ERG	child-PL.ABS	give-PP1:ABS	EV-COP	already-TEMP	1PL-GEN	traditional.knowledge/custom,The advice that Pena gives the children is part of our traditional custom.,,,,valenzuela-2003,,,,
ex74,even1259,beje va:-na-n homo:ty,.,man	kill-PTCP-3SG	bear,the bear killed by the man,,,,ch10nedjalkov1997,,,,
ex75,wari1268,Mam wac nonon [nana-on] pain quit ca mi’ ma-pa’ pane.,.,INS	cut	3PL.RP	[PL-3SG.M]	PREP.3.N	knife	INFL.N.RPP	give	2SG-1SG	REM.PST,They cut it with the knife that you gave me long ago.,,,,ch001everettkern1997,,,,
ex76,tami1289,naaṉ neeṟṟu paar-tt-a paiyaṉ iṉṟu iṅkee va-nt-aaṉ,.,I	yesterday	see-PST-ADJ	boy	today	here	come-PST-3SG.M,The boy that I saw yesterday came here today.,,,,lehmann-1993,,,,
ex77,yaqu1251,U toto’i-Øi [Peo-ta jamut-ta ai miika-ka-’u],.,the	hen-NOM	[Pedro-ACC	woman-ACC	3SG:ACC	give-PFV-CLM],The hen that Pedro gave (it) to the woman.,,,,guerrero-2005,,,,
ex78,yaqu1251,U toto’i-tai [Peo-ta jamut-ta-u ai nenka-ka-’u],.,the	hen-NOM	[Peo-ACC	woman-ACC-DIR	3SG:ACC	sell-PFV-CLM],The hen that Pedro sold (it) to the woman.,,,,guerrero-2005,,,,
ex79,haka1240,lawthlawpaa ka-ʔay-ter-mii rool kha ʔa-thuu,.,farmer	1SG.SBJ-eat-CAUS-REL	food	DEIC	3SG.SBJ-stink,The food I fed the farmer stinks.,,,,peterson-1998,,,,
ex80,haka1240,lawtlawpaa ʔan-thloʔ-piak-mii law khaa ka-hmuʔ,.,farmer	3PL.SBJ-hoe-AFF-REL	field	DEIC	1SG.SBJ-see,I saw the field they hoed for the farmer.,,,,peterson-1998,,,,
ex81,nort2954,su=miidɨ ɨmi i=kuhani-kɨ-na sida ʔmani-pɨ,.,NOM=meat	you.OBL	1=cook-APPL-PTCP	bad	become-PFV,The meat I cooked for you has spoiled.,,,,ch001thornes2003,,,,
ex82,indo1316,Ikan jang saja masak untuk Ali tidak enak rasa-nja.,.,fish	COMP	I	cook	for	Ali	not	good	taste-its,The fish I cooked for Ali didn’t taste good.,,,,chung-ra-1983,,,,
